
@RELATION keywords_frequency/total_post_1_original_quoted

@ATTRIBUTE length NUMERIC
@ATTRIBUTE links NUMERIC
@ATTRIBUTE quoted NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE sentiment NUMERIC
@ATTRIBUTE keywords NUMERIC
@ATTRIBUTE betweenness NUMERIC
@ATTRIBUTE in_degree NUMERIC
@ATTRIBUTE out_degree NUMERIC
@ATTRIBUTE betweenness_sent NUMERIC
@ATTRIBUTE in_degree_sent NUMERIC
@ATTRIBUTE out_degree_sent NUMERIC
@ATTRIBUTE num_of_threads NUMERIC
@ATTRIBUTE utility NUMERIC

@DATA
8, 0, 0, 45, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
10, 0, 1, 46, 0, 0, 44, 1.0, 0.0, 44.0, 1.0, 0.0, 1, 0
96, 0, 1, 47, 0, 2, 140, 2.0, 3.0, 132.6666666666665, 4.0, 9.0, 3, 1
44, 0, 0, 48, -2, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
44, 0, 0, 49, -2, 1, 152, 3.0, 3.0, 206.0, 9.0, 9.0, 5, 0
31, 0, 0, 50, 0, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 2
146, 0, 3, 51, 0, 14, 153, 3.0, 1.0, 111.99999999999989, 9.0, 3.0, 3, 4
112, 3, 1, 52, 0, 13, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 4
78, 2, 2, 53, 0, 9, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 4
48, 0, 0, 54, 0, 3, 153, 3.0, 1.0, 111.99999999999989, 9.0, 3.0, 3, 3
69, 0, 1, 55, 0, 12, 98, 1.0, 3.0, 61.33333333333349, 3.0, 9.0, 5, 4
65, 0, 1, 56, 0, 7, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 3
41, 0, 0, 57, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
95, 1, 2, 58, 0, 12, 98, 3.0, 5.0, 76.74999999999999, 10.0, 15.0, 4, 4
101, 0, 3, 59, 0, 6, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 3
44, 0, 0, 60, 0, 4, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
126, 0, 0, 61, 0, 7, 98, 3.0, 5.0, 76.74999999999999, 10.0, 15.0, 4, 2
98, 1, 0, 62, 0, 8, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 4
55, 0, 1, 63, 0, 2, 89, 1.0, 1.0, 44.33333333333337, 3.0, 3.0, 2, 2
121, 4, 0, 64, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
44, 0, 1, 65, 0, 3, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 1
66, 0, 0, 66, 0, 4, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
19, 0, 0, 67, 0, 4, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
35, 0, 1, 68, 0, 5, 152, 1.0, 1.0, 75.33333333333334, 3.0, 3.0, 2, 3
67, 0, 0, 69, 0, 5, 140, 2.0, 1.0, 67.33333333333346, 6.0, 3.0, 2, 3
18, 0, 0, 70, 0, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 2
35, 0, 0, 71, 0, 3, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 2
19, 0, 2, 72, 0, 2, 140, 2.0, 1.0, 67.33333333333346, 6.0, 3.0, 2, 1
42, 0, 0, 73, 0, 5, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
130, 1, 0, 74, 0, 6, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 2
24, 0, 0, 75, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
48, 1, 1, 76, 0, 0, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 1
110, 1, 0, 77, 0, 8, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
133, 0, 0, 78, 0, 9, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 4
339, 2, 1, 79, 0, 42, 44, 1.0, 0.0, 14.666666666666675, 3.0, 0.0, 1, 5
8, 0, 1, 80, 2, 0, 44, 1.0, 0.0, 14.666666666666675, 3.0, 0.0, 1, 0
73, 0, 0, 81, -2, 0, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
16, 1, 0, 82, 0, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 1
97, 1, 0, 83, 0, 6, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
86, 1, 1, 84, 0, 7, 89, 1.0, 1.0, 51.833333333333385, 3.0, 2.0, 2, 3
107, 1, 0, 85, 0, 8, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
34, 0, 1, 86, 0, 4, 45, 1.0, 0.0, 22.5, 2.0, 0.0, 1, 2
59, 0, 0, 87, -1, 4, 89, 1.0, 1.0, 51.833333333333385, 3.0, 2.0, 2, 1
55, 0, 1, 88, 0, 5, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 4
80, 0, 0, 89, 0, 6, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
26, 0, 1, 90, -1, 2, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
35, 0, 0, 91, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
61, 0, 1, 92, 0, 1, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
13, 0, 1, 93, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
47, 0, 0, 94, 0, 3, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
13, 0, 0, 95, 0, 3, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 1
60, 0, 2, 96, 0, 1, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
11, 0, 0, 97, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
50, 0, 0, 98, 0, 0, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 0
41, 0, 0, 99, 0, 1, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
139, 0, 1, 100, 0, 7, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
96, 0, 4, 101, 0, 6, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 3
70, 0, 0, 102, 0, 3, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 1
37, 0, 0, 103, 0, 0, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
19, 0, 0, 104, 0, 5, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
211, 0, 0, 105, 0, 13, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
68, 0, 2, 106, 0, 10, 98, 2.0, 3.0, 83.66666666666674, 6.0, 9.0, 2, 3
89, 0, 2, 107, -1, 1, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
157, 0, 5, 108, 0, 19, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 1
51, 0, 1, 109, -1, 1, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 0
126, 0, 2, 110, 0, 11, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 4
62, 0, 0, 111, 0, 2, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 0
77, 0, 0, 112, 0, 2, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 1
65, 0, 0, 113, 0, 4, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
28, 0, 0, 114, 0, 4, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 1
129, 0, 0, 115, 0, 15, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
313, 0, 0, 116, 0, 43, 44, 2.0, 1.0, 14.666666666666675, 6.0, 3.0, 5, 4
43, 0, 2, 117, 0, 2, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
62, 0, 1, 118, 0, 5, 44, 2.0, 1.0, 14.666666666666675, 6.0, 3.0, 5, 1
68, 0, 0, 119, 0, 15, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1
102, 0, 0, 120, 0, 6, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
11, 0, 1, 121, 0, 2, 44, 2.0, 1.0, 14.666666666666675, 6.0, 3.0, 5, 0
88, 0, 0, 122, 0, 11, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
43, 0, 0, 123, 0, 5, 44, 2.0, 1.0, 14.666666666666675, 6.0, 3.0, 5, 1
43, 0, 0, 124, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
49, 0, 0, 125, 0, 1, 44, 2.0, 1.0, 14.666666666666675, 6.0, 3.0, 5, 1
40, 0, 0, 126, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
35, 0, 0, 127, 0, 2, 215, 7.0, 11.0, 491.3333333333316, 20.0, 30.0, 13, 1
38, 0, 0, 128, 0, 4, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
80, 0, 1, 129, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 2
1, 0, 0, 130, 1, 0, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 1
53, 0, 0, 131, -1, 0, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 2, 0
141, 0, 0, 132, 0, 6, 98, 2.0, 3.0, 83.66666666666674, 6.0, 9.0, 2, 1
3, 0, 0, 133, 2, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
7, 0, 0, 134, 2, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 2, 0
39, 0, 0, 135, 0, 3, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
36, 0, 0, 136, 2, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
9, 0, 0, 137, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 2, 0
57, 0, 1, 138, 2, 0, 56, 1.0, 2.0, 28.0, 5.0, 7.0, 3, 0
38, 0, 0, 139, 2, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
26, 0, 0, 140, 2, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
48, 0, 0, 141, 1, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
11, 0, 0, 142, 1, 0, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 0
81, 0, 0, 143, 0, 1, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
79, 0, 0, 144, 0, 3, 173, 8.0, 5.0, 44.00000000000005, 24.0, 15.0, 4, 0
25, 0, 0, 145, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
21, 0, 0, 146, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0
7, 0, 0, 147, 0, 0, 56, 1.0, 2.0, 28.0, 5.0, 7.0, 3, 0
60, 0, 1, 148, 0, 2, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
23, 0, 0, 149, 0, 2, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 3, 0
159, 0, 4, 150, 0, 10, 173, 8.0, 5.0, 44.00000000000005, 24.0, 15.0, 4, 0
237, 0, 4, 151, 0, 20, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 0
200, 0, 4, 152, 0, 12, 173, 8.0, 5.0, 44.00000000000005, 24.0, 15.0, 4, 0
29, 0, 0, 153, 0, 1, 316, 14.0, 3.0, 228.66666666666916, 39.0, 9.0, 12, 0
315, 2, 0, 154, 0, 16, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 0
57, 0, 0, 155, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0
132, 1, 0, 156, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
11, 0, 0, 157, 0, 0, 173, 8.0, 5.0, 44.00000000000005, 24.0, 15.0, 4, 0
50, 0, 0, 158, 0, 4, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 2, 0
77, 0, 1, 159, 1, 4, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
75, 0, 0, 160, 0, 4, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 0
21, 0, 1, 161, 0, 1, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
52, 0, 1, 162, 0, 2, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 0
67, 0, 1, 163, 0, 1, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 2, 0
48, 0, 0, 164, 0, 0, 288, 6.0, 8.0, 296.3333333333338, 18.0, 24.0, 6, 0
4, 1, 0, 165, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 5
11, 0, 0, 166, 1, 0, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 0
12, 0, 1, 167, 1, 1, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
30, 0, 0, 168, 0, 1, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
63, 1, 0, 169, 1, 1, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 0
7, 0, 0, 170, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
12, 0, 0, 171, 0, 0, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 0
11, 0, 1, 172, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
134, 1, 0, 173, 0, 4, 152, 1.0, 1.0, 75.33333333333334, 3.0, 3.0, 2, 0
21, 0, 0, 174, 0, 0, 98, 1.0, 2.0, 32.66666666666662, 3.0, 6.0, 7, 0
235, 2, 0, 175, 1, 32, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 4
19, 0, 0, 176, 0, 1, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
73, 0, 0, 177, 0, 10, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 3
37, 0, 1, 178, 0, 8, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
30, 1, 1, 179, 0, 2, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 1
89, 1, 0, 180, 0, 7, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
59, 0, 0, 181, 0, 3, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 1
39, 0, 1, 182, 0, 3, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
19, 3, 1, 183, 0, 0, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 1
60, 0, 0, 184, 1, 6, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
46, 0, 0, 185, 0, 4, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
7, 0, 0, 186, 0, 1, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
65, 0, 1, 187, 0, 7, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
54, 0, 0, 188, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
70, 0, 2, 189, 0, 3, 98, 2.0, 1.0, 44.66666666666671, 6.0, 3.0, 2, 0
72, 0, 0, 190, 0, 3, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
12, 0, 0, 191, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
90, 0, 0, 192, 0, 7, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
32, 0, 1, 193, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
18, 0, 0, 194, 0, 1, 56, 0.0, 1.0, 18.666666666666668, 0.0, 3.0, 1, 1
122, 0, 0, 195, 0, 12, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
54, 0, 0, 196, 0, 2, 98, 2.0, 1.0, 44.66666666666671, 6.0, 3.0, 2, 1
22, 0, 0, 197, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0
132, 0, 0, 198, 0, 18, 56, 0.0, 2.0, 37.333333333333336, 0.0, 6.0, 1, 1
80, 0, 2, 199, 0, 7, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
176, 0, 0, 200, 0, 23, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 1
98, 0, 0, 201, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
189, 1, 3, 202, 0, 19, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
1, 0, 0, 203, 0, 0, 45, 1.0, 0.0, 15.000000000000009, 3.0, 0.0, 2, 0
67, 1, 1, 204, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
27, 0, 0, 205, 0, 3, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 1
303, 1, 1, 206, 0, 38, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 5
55, 0, 1, 207, 0, 10, 98, 4.0, 2.0, 32.66666666666662, 12.0, 6.0, 4, 1
18, 0, 0, 208, 2, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 5, 0
23, 0, 1, 209, 0, 2, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 1
13, 0, 0, 210, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
16, 1, 0, 211, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
65, 0, 2, 212, 0, 7, 98, 4.0, 2.0, 32.66666666666662, 12.0, 6.0, 4, 1
149, 0, 0, 213, 0, 13, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
132, 0, 0, 214, 0, 26, 153, 4.0, 7.0, 239.6666666666676, 12.0, 21.0, 13, 3
53, 0, 1, 215, 0, 11, 98, 4.0, 2.0, 32.66666666666662, 12.0, 6.0, 4, 3
63, 0, 0, 216, 0, 11, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 3
101, 0, 0, 217, 0, 6, 98, 4.0, 2.0, 32.66666666666662, 12.0, 6.0, 4, 3
18, 0, 1, 218, 0, 2, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
34, 0, 1, 219, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
31, 0, 1, 220, 0, 1, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
33, 0, 0, 221, 0, 3, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
7, 0, 0, 222, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
30, 0, 0, 223, 0, 4, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
21, 0, 0, 224, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
3, 0, 0, 225, 0, 1, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
2, 0, 0, 226, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 1
30, 0, 1, 227, 0, 0, 98, 14.0, 20.0, 155.99999999999986, 42.0, 60.0, 16, 1
7, 2, 1, 228, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 1
3, 0, 0, 229, 1, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
63, 0, 0, 230, 0, 3, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 4, 0
59, 0, 0, 231, 0, 5, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
21, 0, 0, 232, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
41, 0, 0, 233, 0, 1, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 0
44, 0, 0, 234, 0, 2, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 4, 0
86, 0, 1, 235, 0, 3, 1, 1.0, 0.0, 0.3333333333333333, 3.0, 0.0, 1, 0
57, 0, 0, 236, 0, 2, 1, 0.0, 1.0, 0.3333333333333333, 0.0, 3.0, 1, 0
2, 0, 0, 237, 0, 0, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
34, 0, 1, 238, 0, 1, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 4, 0
18, 0, 1, 239, 0, 0, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
29, 0, 3, 240, 0, 4, 741, 27.0, 27.0, 264.0000000000024, 79.0, 80.0, 30, 0
12, 0, 0, 241, 0, 0, 98, 1.0, 1.0, 32.66666666666662, 3.0, 3.0, 4, 0
40, 0, 0, 242, 0, 5, 444, 20.0, 10.0, 269.66666666666725, 61.0, 30.0, 37, 0
32, 0, 1, 243, 0, 2, 1631, 56.0, 54.0, 1744.3833333332739, 173.0, 161.0, 90, 0
