Results for BoostingAdditiveRegressionClassifier
Ranged attributes (zero means exclude from model)
Attribute	Importance
position	431.83026294839465
keywords	222.40729466956174
length	79.9294554433809
sentiment	9.590789916528253
quoted	4.973449205644535
links	0.918513177379795
num_of_threads	0.6310070400979493
out_degree	0.3121185488618162
betweenness	0.0
in_degree	0.0
betweenness_sent	0.0
in_degree_sent	0.0
out_degree_sent	0.0
utility	0.0
Post count	Quantile 10%	Quantile 50%	Quantile 90%
65	0.05022831050228305	0.8493150684931506	0.0365296803652968
66	0.04977375565610853	0.8506787330316742	0.03619909502262442
67	0.04932735426008972	0.8475336322869955	0.04035874439461884
68	0.04888888888888887	0.8488888888888889	0.039999999999999925
69	0.048458149779735615	0.8502202643171806	0.03920704845814971
70	0.048034934497816595	0.8471615720524017	0.0393013100436681
71	0.04761904761904767	0.8484848484848485	0.038961038961038974
72	0.047210300429184504	0.8497854077253219	0.03433476394849788
73	0.04680851063829783	0.8468085106382979	0.038297872340425476
74	0.04641350210970463	0.8481012658227848	0.03375527426160341
75	0.046025104602510414	0.8451882845188284	0.03765690376569042
76	0.049792531120331995	0.8464730290456431	0.03319502074688796
77	0.04526748971193417	0.8436213991769548	0.03703703703703698
78	0.0491803278688524	0.8483606557377049	0.032786885245901676
79	0.04489795918367345	0.8489795918367347	0.032653061224489854
80	0.04674796747967469	0.8516260162601625	0.03455284552845539
81	0.04453441295546556	0.854251012145749	0.03238866396761142
82	0.04435483870967749	0.8548387096774194	0.03629032258064513
83	0.04417670682730923	0.8594377510040161	0.032128514056224855
84	0.04400000000000004	0.86	0.03200000000000003
85	0.043824701195219085	0.8605577689243028	0.03585657370517925
86	0.04365079365079372	0.8611111111111112	0.0357142857142857
87	0.04347826086956519	0.8656126482213439	0.03517786561264813
88	0.04330708661417326	0.8661417322834646	0.03543307086614167
89	0.046666666666666745	0.8705882352941177	0.03137254901960784
90	0.04296875	0.87109375	0.03125
91	0.04280155642023342	0.8715953307392996	0.0311284046692607
92	0.04263565891472865	0.872093023255814	0.03100775193798455
93	0.04633204633204635	0.8764478764478765	0.030888030888030826
94	0.04230769230769227	0.8769230769230769	0.03076923076923077
95	0.045593869731800685	0.8773946360153256	0.03065134099616862
96	0.041984732824427495	0.8778625954198473	0.030534351145038108
97	0.041825095057034134	0.8783269961977186	0.03041825095057038
98	0.04166666666666663	0.8787878787878788	0.03409090909090906
99	0.04528301886792452	0.8830188679245283	0.02981132075471693
100	0.045112781954887216	0.8834586466165414	0.03007518796992481
101	0.0449438202247191	0.8838951310861424	0.029962546816479363
102	0.04104477611940305	0.8843283582089553	0.02985074626865669
103	0.040892193308550095	0.8847583643122676	0.03308550185873593
104	0.040740740740740744	0.8851851851851852	0.033333333333333326
105	0.040590405904059046	0.8856088560885609	0.03321033210332103
106	0.0404411764705882	0.8860294117647058	0.02941176470588236
107	0.04029304029304026	0.8864468864468864	0.03296703296703296
